Q_pred,OID_,POINT_X_x,POINT_Y_x
-1.0,5707,-73.11612195,5.77521625
-1.0,5708,-73.11603767,5.775229314
-1.0,5709,-73.11595339,5.775242378
-1.0,5710,-73.11586911,5.775255443
1.0,5711,-73.11578484,5.775268507
1.0,5712,-73.11570056,5.775281571
1.0,5713,-73.11561628,5.775294635
1.0,5714,-73.115532,5.7753077
-1.0,5715,-73.1130302,5.7746031
-1.0,5716,-73.11304018,5.774514925
-1.0,5717,-73.11305015,5.77442675
-1.0,5718,-73.11306013,5.774338575
-1.0,5719,-73.1130701,5.7742504
-1.0,5720,-73.11308243,5.774164083
-1.0,5721,-73.11309476,5.774077767
-1.0,5722,-73.11310708,5.77399145
-1.0,5723,-73.11311941,5.773905133
-1.0,5724,-73.11313174,5.773818816
-1.0,5725,-73.11314407,5.7737325
-1.0,5726,-73.11315639,5.773646183
-1.0,5727,-73.11316872,5.773559866
-1.0,5728,-73.11318105,5.77347355
-1.0,5729,-73.11319338,5.773387233
-1.0,5730,-73.11320571,5.773300917
-1.0,5731,-73.11321803,5.7732146
-1.0,5732,-73.11323036,5.773128284
-1.0,5733,-73.11324269,5.773041967
-1.0,5734,-73.11325502,5.77295565
-1.0,5735,-73.11326734,5.772869333
-1.0,5736,-73.11327967,5.772783017
1.0,5737,-73.113292,5.7726967
-1.0,5738,-73.11330602,5.77261232
-1.0,5739,-73.11332004,5.77252794
-1.0,5740,-73.11333406,5.77244356
1.0,5741,-73.11334808,5.77235918
1.0,5742,-73.1133621,5.7722748
-1.0,5743,-73.113214,5.7751402
-1.0,5744,-73.11315553,5.7751547
-1.0,5745,-73.11309707,5.7751692
-1.0,5746,-73.1130386,5.7751837
-1.0,5747,-73.1130045,5.7751922
-1.0,5748,-73.11293142,5.775209025
-1.0,5749,-73.11285835,5.77522585
-1.0,5750,-73.11278528,5.775242675
-1.0,5751,-73.1127122,5.7752595
-1.0,5752,-73.11262607,5.775276966
-1.0,5753,-73.11253993,5.775294434
-1.0,5754,-73.1124538,5.7753119
-1.0,5755,-73.11236735,5.775329225
1.0,5756,-73.1122809,5.77534655
1.0,5757,-73.11219445,5.775363876
1.0,5758,-73.112108,5.7753812
-1.0,5759,-73.1121727,5.7746003
-1.0,5760,-73.11216551,5.774687067
-1.0,5761,-73.11215832,5.774773833
-1.0,5762,-73.11215113,5.7748606
1.0,5763,-73.11214394,5.774947367
1.0,5764,-73.11213676,5.775034134
-1.0,5765,-73.11212957,5.775120901
-1.0,5766,-73.11212238,5.775207667
-1.0,5767,-73.11211519,5.775294434
1.0,5768,-73.112108,5.7753812
-1.0,5769,-73.11212799,5.775467023
-1.0,5770,-73.11214798,5.775552845
-1.0,5771,-73.11216797,5.775638667
-1.0,5772,-73.11218796,5.77572449
-1.0,5773,-73.11220794,5.775810311
-1.0,5774,-73.11222793,5.775896133
-1.0,5775,-73.11224792,5.775981956
-1.0,5776,-73.11226791,5.776067778
-1.0,5777,-73.1122879,5.7761536
-1.0,5778,-73.113088,5.7750095
-1.0,5779,-73.1130832,5.7749761
-1.0,5780,-73.11308548,5.774894025
-1.0,5781,-73.11308775,5.77481195
-1.0,5782,-73.11309002,5.774729874
-1.0,5783,-73.1130923,5.7746478
-1.0,5784,-73.1130302,5.7746031
-1.0,5785,-73.11295698,5.77460284
-1.0,5786,-73.11288376,5.77460258
-1.0,5787,-73.11281054,5.77460232
-1.0,5788,-73.11273732,5.77460206
-1.0,5789,-73.1126641,5.7746018
-1.0,5790,-73.11259552,5.77460615
-1.0,5791,-73.11252695,5.7746105
-1.0,5792,-73.11245838,5.77461485
-1.0,5793,-73.1123898,5.7746192
-1.0,5794,-73.11231743,5.774612901
-1.0,5795,-73.11224507,5.7746066
-1.0,5796,-73.1121727,5.7746003
-1.0,5797,-73.1120976,5.7745822
-1.0,5798,-73.1120207,5.774546672
-1.0,5799,-73.1119438,5.774511143
-1.0,5800,-73.1118669,5.774475615
-1.0,5801,-73.11179,5.774440086
-1.0,5802,-73.1117131,5.774404557
-1.0,5803,-73.1116362,5.774369029
-1.0,5804,-73.1115593,5.7743335
-1.0,5805,-73.1114824,5.774297971
-1.0,5806,-73.1114055,5.774262443
-1.0,5807,-73.1113286,5.774226914
-1.0,5808,-73.1112517,5.774191386
1.0,5809,-73.1111748,5.774155857
1.0,5810,-73.1110979,5.774120328
-1.0,5811,-73.111021,5.7740848
-1.0,5812,-73.1130701,5.7742504
-1.0,5813,-73.11298553,5.77423685
-1.0,5814,-73.11290095,5.7742233
-1.0,5815,-73.11281637,5.77420975
-1.0,5816,-73.1127318,5.7741962
-1.0,5817,-73.11266437,5.77418535
-1.0,5818,-73.11259695,5.7741745
-1.0,5819,-73.11252953,5.774163651
-1.0,5820,-73.1124621,5.7741528
-1.0,5821,-73.11239253,5.7741381
-1.0,5822,-73.11232295,5.7741234
-1.0,5823,-73.11225337,5.7741087
-1.0,5824,-73.1121838,5.774094
-1.0,5825,-73.1127707,5.7721107
-1.0,5826,-73.11275888,5.772194333
-1.0,5827,-73.11274707,5.772277966
-1.0,5828,-73.11273525,5.7723616
-1.0,5829,-73.11272343,5.772445233
-1.0,5830,-73.11271162,5.772528867
-1.0,5831,-73.1126998,5.7726125
-1.0,5832,-73.11268708,5.772695091
-1.0,5833,-73.11267436,5.772777682
-1.0,5834,-73.11266165,5.772860273
-1.0,5835,-73.11264893,5.772942864
-1.0,5836,-73.11263621,5.773025455
-1.0,5837,-73.11262349,5.773108045
-1.0,5838,-73.11261077,5.773190636
-1.0,5839,-73.11259805,5.773273227
-1.0,5840,-73.11258534,5.773355818
-1.0,5841,-73.11257262,5.773438409
-1.0,5842,-73.1125599,5.773521
-1.0,5843,-73.11254767,5.773599975
-1.0,5844,-73.11253545,5.77367895
-1.0,5845,-73.11252322,5.773757925
-1.0,5846,-73.112511,5.773836901
-1.0,5847,-73.11249877,5.773915876
1.0,5848,-73.11248655,5.77399485
-1.0,5849,-73.11247433,5.774073825
-1.0,5850,-73.1124621,5.7741528
-1.0,5851,-73.11245005,5.774230534
-1.0,5852,-73.112438,5.774308267
-1.0,5853,-73.11242595,5.774386001
-1.0,5854,-73.1124139,5.774463734
-1.0,5855,-73.11240185,5.774541467
-1.0,5856,-73.1123898,5.7746192
1.0,5857,-73.1130168,5.7721487
1.0,5858,-73.11300875,5.772232366
1.0,5859,-73.1130007,5.772316033
-1.0,5860,-73.11299265,5.7723997
-1.0,5861,-73.1129846,5.772483367
-1.0,5862,-73.11297655,5.772567034
1.0,5863,-73.1129685,5.7726507
-1.0,5864,-73.11295574,5.772733646
-1.0,5865,-73.11294297,5.772816591
-1.0,5866,-73.11293021,5.772899536
-1.0,5867,-73.11291745,5.772982482
-1.0,5868,-73.11290468,5.773065427
-1.0,5869,-73.11289192,5.773148373
-1.0,5870,-73.11287915,5.773231319
-1.0,5871,-73.11286639,5.773314264
